MMO	Mola mola (Ocean sunfish)
NGA	Nannospalax galili (Upper Galilee mountains blind mole rat)
HOM	Homo sapiens (Human)
RNO	Rattus norvegicus (Rat)
CMU	Corvus moneduloides (New Caledonian crow)
PTI	Panthera tigris altaica (Tiger)
SSA	Salmo salar (Atlantic salmon)
MGP_CBAJ_	Mus musculus (Mouse CBA/J)
ACA	Anolis carolinensis (Green anole)
MMN	Monodon monoceros (Narwhal)
OGA	Otolemur garnettii (Bushbaby)
CHY	Cervus hanglu yarkandensis (Yarkand deer)
PKI	Paramormyrops kingsleyae (Paramormyrops kingsleyae)
CHO	Choloepus hoffmanni (Sloth)
CAF	Canis lupus familiaris (Dog)
SDU	Seriola dumerili (Greater amberjack)
CAP	Cavia aperea (Brazilian guinea pig)
SDA	Spermophilus dauricus (Daurian ground squirrel)
OPR	Ochotona princeps (Pika)
MUS	Mus musculus (Mouse)
MSI	Mus spicilegus (Steppe mouse)
FCA	Felis catus (Cat)
FTI	Falco tinnunculus (Common kestrel)
MAU	Mesocricetus auratus (Golden Hamster)
JJA	Jaculus jaculus (Lesser Egyptian jerboa)
ZAL	Zonotrichia albicollis (White-throated sparrow)
CHI	Capra hircus (Goat)
UAM	Ursus americanus (American black bear)
CCR	Cyprinus carpio carpio (Common carp)
MMS	Moschus moschiferus (Siberian musk deer)
BOB	Bubo bubo (Eurasian eagle-owl)
PMG	Periophthalmus magnuspinnatus (Periophthalmus magnuspinnatus)
RFE	Rhinolophus ferrumequinum (Greater horseshoe bat)
PPA	Pan paniscus (Bonobo)
AOC	Amphiprion ocellaris (Clown anemonefish)
LLT	Laticauda laticaudata (Blue-ringed sea krait)
UMA	Ursus maritimus (Polar bear)
PNA	Pygocentrus nattereri (Red-bellied piranha)
VPA	Vicugna pacos (Alpaca)
CPU	Calidris pugnax (Ruff)
CLM	Cyclopterus lumpus (Lumpfish)
PMR	Podarcis muralis (Common wall lizard)
ABR	Anser brachyrhynchus (Pink-footed goose)
MMM	Marmota marmota marmota (Alpine marmot)
129	Mus musculus (Mouse 129S1/SvImJ)
HBU	Haplochromis burtoni (Burton's mouthbrooder)
IPU	Ictalurus punctatus (Channel catfish)
SMR	Salvator merianae (Argentine black and white tegu)
WSB	Mus musculus domesticus (Mouse WSB/EiJ)
C57	Mus musculus (Mouse C57BL/6NJ)
MAM	Mastacembelus armatus (Zig-zag eel)
NOD	Mus musculus (Mouse NOD/ShiLtJ)
TBE	Tupaia belangeri (Tree Shrew)
BBB	Bison bison bison (American bison)
OAR	Ovis aries (Sheep)
NVI	Neovison vison (American mink)
TNI	Tetraodon nigroviridis (Tetraodon)
MIC	Microcebus murinus (Mouse Lemur)
SOR	Sphaeramia orbicularis (Orbiculate cardinalfish)
ECA	Equus caballus (Horse)
OTS	Oncorhynchus tshawytscha (Chinook salmon)
MGP_CAROLI_	Mus caroli (Ryukyu mouse)
MVI	Manacus vitellinus (Golden-collared manakin)
ATE	Anabas testudineus (Climbing perch)
CRF	Cyanoderma ruficeps (Rufous-capped babbler)
CPR	Crocodylus porosus (Australian saltwater crocodile)
ACO	Amazona collaria (Yellow-billed parrot)
AHA	Apteryx haastii (Great spotted kiwi)
PVA	Pteropus vampyrus (Megabat)
SPR	Mus spretus (Algerian mouse)
CHA	Clupea harengus (Atlantic herring)
NLE	Nomascus leucogenys (Gibbon)
MCS	Malurus cyaneus samueli (Superb fairywren)
MLU	Myotis lucifugus (Microbat)
CUS	Catharus ustulatus (Swainson's thrush)
PNY	Pundamilia nyererei (Makobe Island cichlid)
MNE	Macaca nemestrina (Pig-tailed macaque)
CMI	Callorhinchus milii (Elephant shark)
GEV	Gopherus evgoodei (Goodes thornscrub tortoise)
PCT	Physeter catodon (Sperm whale)
BMU	Bos mutus (Wild yak)
CCE	Cyanistes caeruleus (Blue tit)
PLA	Poecilia latipinna (Sailfin molly)
OKI	Oncorhynchus kisutch (Coho salmon)
APO	Acanthochromis polyacanthus (Spiny chromis)
EEU	Erinaceus europaeus (Hedgehog)
SPU	Sphenodon punctatus (Tuatara)
NML	Neogobius melanostomus (Round goby)
PPR	Panthera pardus (Leopard)
SMA	Scophthalmus maximus (Turbot)
TGU	Taeniopygia guttata (Zebra finch)
PSI	Pelodiscus sinensis (Chinese softshell turtle)
CPI	Chrysemys picta bellii (Painted turtle)
EAS	Equus asinus asinus (Donkey)
CCA	Cebus capucinus imitator (Capuchin)
GAF	Gambusia affinis (Western mosquitofish)
CSA	Chlorocebus sabaeus (Vervet-AGM)
ANI	Accipiter nisus (Eurasian sparrowhawk)
FDA	Fukomys damarensis (Damara mole rat)
OAB	Oreochromis aureus (Blue tilapia)
LPJ	Mus musculus (Mouse LP/J)
PTX	Pseudonaja textilis (Eastern brown snake)
FAL	Ficedula albicollis (Collared flycatcher)
CAN	Colobus angolensis palliatus (Angola colobus)
PMJ	Parus major (Great Tit)
LCO	Lepidothrix coronata (Blue-crowned manakin)
LOC	Lepisosteus oculatus (Spotted gar)
CIN	Ciona intestinalis
OJA	Oryzias javanicus (Javanese ricefish)
VKK	Varanus komodoensis (Komodo dragon)
SCA	Serinus canaria (Common canary)
SSU	Suricata suricatta (Meerkat)
EEE	Electrophorus electricus (Electric eel)
ANA	Aotus nancymaae (Ma's night monkey)
PCE	Pelusios castaneus (West African mud turtle)
LSD	Lonchura striata domestica (Bengalese finch)
AOW	Apteryx owenii (Little spotted kiwi)
TTR	Tursiops truncatus (Dolphin)
CSA	Ciona savignyi
ZLM	Zosterops lateralis melanops (Silver-eye)
SLD	Seriola lalandi dorsalis (Yellowtail amberjack)
CCN	Castor canadensis (American beaver)
PTE	Piliocolobus tephrosceles (Ugandan red Colobus)
BJA	Buteo japonicus (Eastern buzzard)
AME	Ailuropoda melanoleuca (Giant panda)
GGO	Gorilla gorilla gorilla (Gorilla)
STO	Ictidomys tridecemlineatus (Squirrel)
SAU	Sparus aurata (Gilthead seabream)
CSR	Chelydra serpentina (Common snapping turtle)
CJP	Coturnix japonica (Japanese quail)
MUN	Melopsittacus undulatus (Budgerigar)
ONI	Oreochromis niloticus (Nile tilapia)
HGL	Heterocephalus glaber (Naked mole-rat)
NSU	Notechis scutatus (Mainland tiger snake)
SAR	Sorex araneus (Shrew)
PWK	Mus musculus musculus (Mouse PWK/PhJ)
LLE	Leptobrachium leishanense (Leishan spiny toad)
BMS	Balaenoptera musculus (Blue whale)
PCI	Phascolarctos cinereus (Koala)
OMY	Oncorhynchus mykiss (Rainbow trout)
MMU	Macaca mulatta (Macaque)
DNO	Dasypus novemcinctus (Armadillo)
CVA	Cyprinodon variegatus (Sheepshead minnow)
SGR	Sinocyclocheilus grahami (Golden-line barbel)
AMX	Astyanax mexicanus (Mexican tetra)
NZO	Mus musculus (Mouse NZO/HlLtJ)
VUR	Vombatus ursinus (Common wombat)
CWA	Catagonus wagneri (Chacoan peccary)
XET	Xenopus tropicalis (Tropical clawed frog)
