Tree,Ortho Groups,Empty-Ortho Groups,Dups,Ind. Dups
4365,2,2,0,0
4366,1,0,6,5
4367,2,2,0,0
4368,2,0,10,7
4369,0,0,0,0
4370,1,0,31,20
4371,1,1,0,0
4372,1,0,9,3
4373,2,2,0,0
4374,3,3,0,0
4375,1,0,18,12
4376,0,0,0,0
4377,2,1,9,7
4378,1,0,16,12
4379,2,1,13,7
4380,2,1,7,4
4381,0,0,0,0
4382,2,1,12,7
4383,1,0,5,4
4384,2,0,24,10
4385,1,0,35,20
4386,0,0,0,0
4387,1,1,0,0
4388,1,0,5,3
4389,1,0,20,10
4390,1,0,11,8
4391,1,0,12,6
4392,11,4,44,17
4393,1,0,10,4
4394,1,0,1,1
4395,1,0,31,21
4396,2,0,20,15
4397,1,0,10,8
4398,1,0,11,9
4399,3,1,2,2
4400,0,0,0,0
4401,1,0,24,19
4402,1,0,37,19
4403,1,0,9,6
4404,1,0,9,7
4405,1,0,16,14
4406,1,0,19,13
4407,1,0,9,6
4408,1,0,5,3
4409,1,0,27,17
4410,0,0,0,0
4411,3,1,11,8
4412,1,0,1,1
4413,1,0,19,14
4414,2,2,0,0
4415,1,1,0,0
4416,1,0,16,12
4417,1,0,24,18
4418,1,0,5,4
4419,3,1,9,6
4420,3,1,20,15
4421,1,0,2,2
4422,0,0,0,0
4423,2,1,5,4
4424,1,0,44,27
4425,1,0,10,6
4426,0,0,0,0
4427,1,0,9,6
4428,2,1,27,14
4429,0,0,0,0
4430,1,0,7,7
4431,2,0,8,7
4432,0,0,0,0
4433,1,1,0,0
4434,2,0,2,2
4435,1,0,13,10
4436,2,0,7,4
4437,2,1,3,2
4438,1,0,22,13
4439,0,0,0,0
4440,1,0,8,5
4441,2,0,76,35
4442,0,0,0,0
4443,2,0,8,6
4444,2,1,6,3
4445,1,0,15,10
4446,1,1,0,0
4447,2,1,27,15
4448,2,1,2,2
4449,1,0,17,8
4450,0,0,0,0
4451,1,0,17,6
4452,1,0,15,9
4453,1,1,0,0
4454,0,0,0,0
4455,1,0,20,11
4456,1,0,12,9
4457,1,0,6,5
4458,1,0,24,15
4459,3,0,34,22
4460,1,0,6,6
4461,1,0,27,17
4462,2,0,20,10
4463,0,0,0,0
4464,2,1,3,3
4465,0,0,0,0
4466,2,0,26,15
4467,1,0,13,9
4468,1,0,28,24
4469,2,1,8,3
4470,1,0,14,9
4471,1,1,0,0
4472,3,1,2,2
4473,2,0,13,8
4474,5,2,9,7
4475,2,2,0,0
4476,3,1,14,12
4477,2,1,10,8
4478,0,0,0,0
4479,1,0,16,10
4480,1,0,29,20
4481,2,1,2,2
4482,0,0,0,0
4483,1,0,17,11
4484,1,0,2,1
4485,1,0,9,6
4486,1,0,18,15
4487,0,0,0,0
4488,1,0,20,12
4489,1,0,2,1
4490,1,0,29,24
4491,2,0,11,7
4492,1,0,26,20
4493,1,0,18,9
4494,2,0,7,6
4495,2,0,10,8
4496,2,1,22,15
4497,1,0,13,7
4498,1,0,8,4
4499,1,0,24,13
4500,7,4,6,4
4501,1,0,2,2
4502,1,0,15,10
4503,1,0,50,24
4504,5,3,5,5
4505,0,0,0,0
4506,1,0,22,14
4507,0,0,0,0
4508,9,2,105,41
4509,0,0,0,0
4510,1,1,0,0
4511,1,0,12,9
4512,1,0,5,3
4513,2,0,13,8
4514,1,0,24,15
4515,2,1,10,7
4516,0,0,0,0
4517,1,0,13,12
4518,0,0,0,0
4519,2,1,2,2
4520,0,0,0,0
4521,1,0,13,7
4522,1,0,18,13
4523,1,0,6,3
4524,2,1,37,24
4525,1,0,5,4
4526,0,0,0,0
4527,1,0,31,18
4528,0,0,0,0
4529,1,0,9,7
4530,2,1,18,11
4531,2,1,1,1
4532,1,0,12,8
4533,1,0,21,12
4534,0,0,0,0
4535,1,1,0,0
4536,3,1,12,6
4537,1,0,10,5
4538,2,0,49,28
4539,2,1,22,16
4540,1,0,19,10
4541,1,0,10,8
4542,1,0,41,27
4543,2,1,5,3
4544,0,0,0,0
4545,1,0,16,10
4546,1,0,22,15
4547,1,0,9,6
4548,1,0,9,6
4549,1,0,14,9
4550,1,0,11,8
4551,1,0,22,12
4552,1,0,9,7
4553,2,1,12,7
4554,0,0,0,0
4555,3,1,18,11
4556,1,0,11,7
4557,1,0,29,17
4558,1,1,0,0
4559,1,0,11,9
4560,0,0,0,0
4561,2,0,27,14
4562,1,0,1,1
4563,1,0,24,18
4564,1,0,10,6
4565,0,0,0,0
4566,1,0,20,13
4567,1,0,10,7
4568,1,0,7,6
4569,1,0,11,7
4570,1,0,9,4
4571,1,0,16,11
4572,1,0,8,5
4573,1,0,12,8
4574,1,0,19,14
4575,1,0,23,17
4576,1,0,20,16
4577,1,0,9,6
4578,2,0,18,11
4579,1,0,15,9
4580,0,0,0,0
4581,2,0,8,6
4582,2,1,10,7
4583,1,0,7,6
4584,0,0,0,0
4585,1,0,8,7
4586,1,0,15,9
4587,1,0,23,13
4588,1,0,19,9
4589,0,0,0,0
4590,1,0,1,1
4591,2,1,1,1
4592,1,0,11,7
4593,0,0,0,0
4594,1,0,17,11
4595,1,0,10,8
4596,1,0,17,12
4597,0,0,0,0
4598,1,0,7,4
4599,0,0,0,0
4600,1,0,15,8
4601,1,0,26,18
4602,1,1,0,0
4603,1,0,12,8
4604,0,0,0,0
4605,1,0,8,5
4606,6,3,7,4
4607,1,0,5,4
4608,1,0,29,23
4609,1,1,0,0
4610,0,0,0,0
4611,1,0,8,6
4612,1,0,1,1
4613,1,0,1,1
4614,1,0,13,6
4615,1,0,24,15
4616,0,0,0,0
4617,1,0,12,10
4618,1,0,13,8
4619,2,0,5,5
4620,3,2,2,2
4621,0,0,0,0
4622,2,0,6,5
4623,1,0,14,7
4624,1,0,26,15
4625,1,0,13,10
4626,1,0,17,14
4627,1,0,35,21
4628,1,0,7,4
4629,1,0,13,8
4630,2,0,5,4
4631,1,0,12,8
4632,2,1,11,7
4633,2,0,6,4
4634,10,6,6,5
4635,1,0,25,16
4636,1,0,1,1
4637,1,0,9,5
4638,1,0,8,4
4639,3,1,29,15
4640,1,0,6,6
4641,1,0,11,8
4642,1,0,8,4
4643,0,0,0,0
4644,1,0,18,9
4645,0,0,0,0
4646,1,0,10,7
4647,1,0,13,9
4648,1,0,17,12
4649,1,0,18,13
4650,1,1,0,0
4651,1,1,0,0
4652,0,0,0,0
4653,0,0,0,0
4654,0,0,0,0
4655,1,0,20,15
4656,1,0,8,5
4657,1,0,26,18
4658,1,0,26,13
4659,2,1,11,6
4660,1,0,17,14
4661,2,1,1,1
4662,2,1,6,3
4663,0,0,0,0
4664,0,0,0,0
4665,1,0,1,1
4666,0,0,0,0
4667,2,0,9,8
4668,1,0,10,7
4669,1,0,19,14
4670,1,0,12,9
4671,0,0,0,0
4672,2,1,8,6
4673,1,0,7,5
4674,2,1,17,10
4675,0,0,0,0
4676,1,0,8,5
4677,2,1,23,14
4678,1,1,0,0
4679,0,0,0,0
4680,1,0,11,10
4681,1,0,15,8
4682,1,0,10,8
4683,1,0,7,5
4684,2,1,34,13
4685,1,0,3,3
4686,5,2,4,4
4687,3,1,11,6
4688,1,0,19,11
4689,1,0,21,13
4690,1,0,12,8
4691,2,1,4,3
4692,1,0,20,16
4693,1,0,7,5
4694,2,1,1,1
4695,3,1,5,4
4696,1,0,2,2
4697,1,0,21,15
4698,2,0,20,11
4699,1,0,16,10
4700,1,0,18,12
4701,2,1,1,1
4702,1,0,15,10
4703,1,0,24,15
4704,1,0,5,4
4705,2,0,3,2
4706,1,0,8,7
4707,1,0,4,3
4708,1,0,7,3
4709,2,1,10,5
4710,2,1,13,9
4711,1,0,33,21
4712,1,1,0,0
4713,1,0,7,5
4714,1,0,9,8
4715,1,0,24,16
4716,1,0,6,5
4717,1,0,24,15
4718,1,0,6,5
4719,2,0,7,6
4720,1,0,38,26
4721,1,0,17,14
4722,1,0,8,6
4723,1,0,6,3
4724,1,0,15,10
4725,1,0,10,6
4726,2,2,0,0
4727,1,0,7,4
4728,1,0,11,6
4729,2,0,16,10
4730,1,1,0,0
4731,2,0,5,3
4732,0,0,0,0
4733,1,0,18,10
4734,2,0,11,5
4735,3,2,10,7
4736,0,0,0,0
4737,1,0,16,7
4738,0,0,0,0
4739,1,0,25,17
4740,0,0,0,0
4741,1,0,6,3
4742,1,0,12,6
4743,1,0,16,11
4744,2,0,4,3
4745,1,0,8,7
4746,1,1,0,0
4747,1,0,8,6
4748,2,0,9,7
4749,1,0,12,6
4750,1,0,21,15
4751,2,0,7,6
4752,1,0,16,11
4753,3,2,3,2
4754,1,0,21,12
4755,1,0,6,4
4756,1,0,6,4
4757,1,0,7,5
4758,0,0,0,0
4759,1,0,14,9
4760,1,0,19,10
4761,0,0,0,0
4762,1,0,16,9
4763,0,0,0,0
4764,3,2,2,2
4765,1,0,16,11
4766,1,0,31,20
4767,2,0,21,18
4768,1,0,10,7
4769,1,0,12,6
4770,1,0,20,16
4771,1,0,14,9
4772,1,0,14,9
4773,1,0,6,5
4774,1,0,32,14
4775,0,0,0,0
4776,1,0,6,4
4777,1,0,11,10
4778,1,0,3,3
4779,1,0,24,16
4780,1,0,18,14
4781,0,0,0,0
4782,1,1,0,0
4783,1,0,34,14
4784,1,0,16,12
4785,1,0,26,17
4786,1,0,10,5
4787,1,1,0,0
4788,1,0,17,12
4789,2,1,6,5
4790,0,0,0,0
4791,1,0,22,15
4792,1,0,11,5
4793,1,0,18,10
4794,1,1,0,0
4795,1,0,10,6
4796,1,0,5,4
4797,1,0,13,8
4798,2,1,8,7
4799,1,0,16,10
4800,0,0,0,0
4801,1,0,23,17
4802,1,1,0,0
4803,0,0,0,0
4804,1,1,0,0
4805,1,0,2,2
4806,1,0,3,3
4807,1,1,0,0
4808,1,0,7,5
4809,1,0,6,4
4810,1,0,1,1
4811,1,0,14,10
4812,1,0,11,7
4813,1,0,25,11
4814,2,2,0,0
4815,1,0,7,4
4816,1,0,18,12
4817,1,0,48,30
4818,1,0,19,11
4819,1,0,6,4
4820,0,0,0,0
4821,1,0,13,10
4822,2,0,15,10
4823,1,0,21,14
4824,1,0,13,11
4825,1,0,26,14
4826,2,0,9,8
4827,0,0,0,0
4828,1,0,1,1
4829,0,0,0,0
4830,3,1,5,4
4831,2,0,8,7
4832,1,0,9,7
4833,1,0,9,5
4834,1,0,7,4
4835,1,0,11,8
4836,2,1,11,7
4837,1,0,1,1
4838,1,0,15,12
4839,2,1,1,1
4840,2,0,14,7
4841,2,2,0,0
4842,1,0,2,1
4843,0,0,0,0
4844,1,1,0,0
4845,1,1,0,0
4846,1,0,6,4
4847,1,0,7,6
4848,1,0,9,5
4849,2,1,7,3
4850,1,0,75,23
4851,2,2,0,0
4852,2,1,12,7
4853,1,0,21,10
4854,0,0,0,0
4855,1,0,24,13
4856,2,2,0,0
4857,2,1,21,14
4858,1,0,9,7
4859,1,0,6,3
4860,1,0,10,7
4861,1,0,10,5
4862,1,0,18,11
4863,1,0,25,21
4864,1,0,22,15
4865,1,0,14,10
4866,1,0,7,4
4867,1,1,0,0
4868,1,0,18,10
4869,1,1,0,0
4870,1,1,0,0
4871,2,0,15,8
4872,2,1,14,8
4873,1,0,20,12
4874,2,0,3,3
4875,0,0,0,0
4876,2,1,16,14
4877,3,2,9,4
4878,2,1,1,1
4879,1,1,0,0
4880,2,0,14,9
4881,2,1,1,1
4882,0,0,0,0
4883,0,0,0,0
4884,5,2,6,5
4885,1,0,19,10
4886,0,0,0,0
4887,0,0,0,0
4888,1,0,20,11
4889,1,0,9,6
4890,1,0,21,12
4891,1,0,21,12
4892,0,0,0,0
4893,2,1,7,3
4894,1,1,0,0
4895,2,1,4,2
4896,1,0,6,4
4897,1,0,15,7
4898,1,0,1,1
4899,1,1,0,0
4900,1,0,9,6
4901,1,0,4,4
4902,2,2,0,0
4903,1,0,5,3
4904,1,0,41,19
4905,1,0,11,9
4906,1,0,12,10
4907,1,0,6,5
4908,1,0,14,11
4909,1,0,23,15
4910,1,0,1,1
4911,0,0,0,0
4912,1,0,3,3
4913,2,2,0,0
4914,1,0,27,19
4915,1,0,7,6
4916,1,1,0,0
4917,1,0,10,7
4918,1,0,8,6
4919,2,1,4,3
4920,1,0,14,12
4921,0,0,0,0
4922,1,0,6,4
4923,3,2,21,8
4924,1,0,1,1
4925,1,0,15,9
4926,2,0,13,8
4927,1,0,18,10
4928,2,2,0,0
4929,1,1,0,0
4930,0,0,0,0
4931,0,0,0,0
4932,0,0,0,0
4933,1,0,10,7
4934,1,0,16,10
4935,1,0,11,8
4936,1,0,16,13
4937,1,1,0,0
4938,2,0,9,7
4939,2,1,13,7
4940,7,4,6,4
4941,1,1,0,0
4942,1,0,20,13
4943,1,0,10,7
4944,1,0,14,8
4945,1,0,15,10
4946,2,0,8,5
4947,1,0,3,3
4948,1,0,20,14
4949,1,0,7,5
4950,1,0,13,7
4951,1,0,25,18
4952,0,0,0,0
4953,2,2,0,0
4954,1,0,15,8
4955,1,1,0,0
4956,1,0,21,15
4957,1,0,23,16
4958,1,0,10,5
4959,1,0,99,36
4960,1,0,7,4
4961,1,0,7,4
4962,0,0,0,0
4963,1,0,18,13
4964,1,0,22,12
4965,3,2,4,2
4966,3,2,9,6
4967,1,0,19,16
4968,0,0,0,0
4969,1,0,21,12
4970,2,1,6,3
4971,1,0,2,2
4972,2,0,19,13
4973,1,0,4,1
4974,1,0,3,2
4975,1,0,17,12
4976,1,0,14,8
4977,1,0,16,13
4978,1,1,0,0
4979,1,0,8,6
4980,3,2,1,1
4981,1,0,14,10
4982,2,1,9,5
4983,1,0,19,12
4984,2,0,10,7
4985,1,0,62,36
4986,0,0,0,0
4987,1,0,7,6
4988,1,0,23,16
4989,0,0,0,0
4990,1,0,23,15
4991,1,0,8,5
4992,0,0,0,0
4993,0,0,0,0
4994,1,0,2,2
4995,2,0,6,4
4996,1,0,23,14
4997,1,0,19,12
4998,2,2,0,0
4999,1,0,12,7
5000,1,0,22,11
5001,0,0,0,0
5002,1,1,0,0
5003,1,0,17,9
5004,1,0,9,5
5005,2,0,8,8
5006,1,0,18,12
5007,1,0,19,15
5008,1,0,24,19
5009,2,1,7,5
5010,1,0,9,9
5011,1,0,15,12
5012,6,3,8,5
5013,1,0,11,9
5014,0,0,0,0
5015,1,1,0,0
5016,1,0,11,7
5017,1,0,7,3
5018,1,0,18,10
5019,1,0,21,12
5020,1,0,12,9
5021,3,2,2,1
5022,1,0,17,11
5023,1,0,4,3
5024,3,0,17,10
5025,1,0,19,11
5026,1,0,14,10
5027,3,0,6,4
5028,1,0,12,8
5029,1,0,18,11
5030,0,0,0,0
5031,1,0,12,8
5032,1,0,14,9
5033,1,1,0,0
5034,2,0,14,10
5035,1,1,0,0
5036,1,1,0,0
5037,1,0,20,16
5038,1,0,14,8
5039,1,0,10,8
5040,1,0,15,10
5041,1,1,0,0
5042,1,0,13,10
5043,1,0,11,6
5044,1,0,4,3
5045,1,0,12,7
5046,2,1,5,4
5047,1,0,16,9
5048,2,1,9,6
5049,1,0,8,5
5050,2,1,2,2
5051,0,0,0,0
5052,2,0,10,8
5053,1,0,15,8
5054,0,0,0,0
5055,2,0,11,6
5056,3,1,9,5
5057,1,0,8,5
5058,1,0,17,10
5059,0,0,0,0
5060,1,0,16,9
5061,1,0,21,16
5062,2,1,3,3
5063,1,1,0,0
5064,0,0,0,0
5065,1,0,8,7
5066,1,1,0,0
5067,7,4,6,4
5068,2,1,5,3
5069,1,0,6,5
5070,0,0,0,0
5071,1,0,26,20
5072,0,0,0,0
5073,0,0,0,0
5074,1,1,0,0
5075,1,0,18,14
5076,1,1,0,0
5077,1,0,23,17
5078,1,0,23,15
5079,1,0,2,1
5080,1,0,15,11
5081,1,0,19,10
5082,1,1,0,0
5083,2,1,22,16
5084,1,0,11,7
5085,1,0,19,13
5086,1,0,31,28
5087,2,1,8,6
5088,0,0,0,0
5089,2,2,0,0
5090,1,0,19,16
5091,1,0,8,7
5092,1,0,8,5
5093,1,0,7,5
5094,2,1,3,2
5095,1,0,25,14
5096,2,1,9,6
5097,1,0,1,1
5098,1,0,17,10
5099,2,2,0,0
5100,1,0,4,2
5101,1,0,15,10
5102,1,0,10,6
5103,2,0,166,56
5104,1,1,0,0
5105,1,0,14,8
5106,0,0,0,0
5107,1,0,12,10
5108,0,0,0,0
5109,1,0,10,6
5110,1,0,23,11
5111,1,0,8,5
5112,1,0,3,3
5113,1,0,12,10
5114,1,0,10,8
5115,1,0,14,11
5116,0,0,0,0
5117,1,0,6,5
5118,0,0,0,0
5119,1,1,0,0
5120,1,0,15,9
5121,1,0,1,1
5122,1,1,0,0
5123,7,2,27,15
5124,1,0,6,4
5125,1,0,21,13
5126,1,0,5,3
5127,0,0,0,0
5128,1,0,9,6
5129,1,0,8,7
5130,1,0,19,12
5131,5,4,2,1
5132,1,0,13,11
5133,1,0,7,5
5134,2,1,23,6
5135,2,2,0,0
5136,0,0,0,0
5137,3,2,7,6
5138,1,0,17,11
5139,1,0,15,8
5140,2,1,20,12
5141,2,2,0,0
5142,1,0,25,15
5143,0,0,0,0
5144,2,0,10,5
5145,2,0,8,5
5146,0,0,0,0
5147,1,0,5,3
5148,1,0,35,22
5149,0,0,0,0
5150,1,0,9,6
5151,1,0,12,8
5152,1,0,12,8
5153,0,0,0,0
5154,1,0,29,19
5155,3,2,18,12
5156,2,0,7,5
5157,1,0,16,12
5158,1,0,17,8
5159,1,0,7,6
5160,1,0,21,14
5161,1,0,12,8
5162,1,0,20,11
5163,0,0,0,0
5164,4,1,19,7
5165,1,0,12,8
5166,2,1,8,6
5167,1,0,12,7
5168,1,0,7,5
5169,1,0,7,4
5170,1,0,25,15
5171,1,0,23,17
5172,0,0,0,0
5173,1,0,14,9
5174,1,0,15,9
5175,1,0,9,9
5176,1,0,8,6
5177,1,0,9,4
5178,1,0,13,12
5179,1,0,26,21
5180,1,0,26,14
5181,0,0,0,0
5182,1,0,17,14
5183,1,0,6,5
5184,1,0,14,9
5185,1,0,9,6
5186,1,0,9,8
5187,2,1,11,8
5188,1,0,15,8
5189,1,0,7,6
5190,2,2,0,0
5191,1,0,10,7
5192,1,0,9,5
5193,2,1,4,3
5194,1,0,47,19
5195,1,0,17,10
5196,1,0,11,8
5197,1,0,1,1
5198,2,1,11,7
5199,1,0,15,9
5200,1,0,13,10
5201,2,1,21,12
5202,1,0,6,4
5203,1,0,2,2
5204,1,1,0,0
5205,0,0,0,0
5206,1,0,3,2
5207,1,0,14,11
5208,1,1,0,0
5209,0,0,0,0
5210,1,0,14,10
5211,0,0,0,0
5212,1,0,15,10
5213,1,0,13,8
5214,1,0,8,6
5215,1,0,15,12
5216,3,2,13,6
5217,2,0,10,8
5218,0,0,0,0
5219,1,0,16,12
5220,1,0,15,11
5221,2,1,14,5
5222,1,0,12,10
5223,1,0,4,4
5224,1,0,27,20
5225,1,0,10,6
5226,1,0,26,16
5227,1,1,0,0
5228,1,0,4,4
5229,1,0,6,4
5230,1,0,16,11
5231,1,0,30,19
5232,2,2,0,0
5233,1,0,19,9
5234,0,0,0,0
5235,0,0,0,0
5236,2,1,7,4
5237,1,0,42,27
5238,1,0,12,9
5239,2,2,0,0
5240,1,0,3,2
5241,1,1,0,0
5242,1,0,19,13
5243,1,0,13,10
5244,0,0,0,0
5245,1,0,18,14
5246,1,0,34,20
5247,1,0,13,11
5248,1,0,6,3
5249,2,2,0,0
5250,0,0,0,0
5251,1,0,19,10
5252,3,2,7,3
5253,1,0,4,4
5254,1,0,22,16
5255,1,0,5,3
5256,1,0,138,54
5257,1,0,12,7
5258,1,0,16,8
5259,2,1,7,5
5260,1,1,0,0
5261,1,0,14,9
5262,1,0,5,4
5263,1,0,9,8
5264,1,0,16,9
5265,0,0,0,0
5266,3,1,8,5
5267,2,1,6,5
5268,1,0,4,2
5269,1,0,14,11
5270,1,0,1,1
5271,1,0,19,14
5272,1,0,3,3
5273,0,0,0,0
5274,2,1,4,2
5275,1,0,16,11
5276,1,0,13,7
5277,1,0,15,8
5278,1,0,19,13
5279,1,0,11,9
5280,1,0,13,10
5281,1,0,44,19
5282,1,0,21,17
5283,0,0,0,0
5284,2,1,2,2
5285,1,0,7,3
5286,1,0,5,3
5287,1,0,10,6
5288,1,0,13,10
5289,1,0,6,5
5290,1,0,9,6
5291,1,0,11,6
5292,1,0,4,3
5293,1,0,18,8
5294,1,0,4,3
5295,1,0,16,10
5296,0,0,0,0
5297,1,0,15,11
5298,1,0,114,48
5299,1,0,15,10
5300,1,0,11,7
5301,1,0,13,10
5302,1,0,10,10
5303,1,0,18,10
5304,1,1,0,0
5305,2,1,8,5
5306,1,0,47,35
5307,1,0,23,10
5308,1,0,21,13
5309,0,0,0,0
5310,3,2,22,7
5311,0,0,0,0
5312,1,0,16,11
5313,0,0,0,0
5314,1,0,13,10
5315,1,1,0,0
5316,1,0,11,8
5317,4,2,4,3
5318,2,0,18,11
5319,1,0,16,12
5320,0,0,0,0
5321,2,1,7,5
5322,1,0,8,5
5323,1,0,1,1
5324,1,0,17,11
5325,1,0,16,10
5326,1,0,23,14
5327,1,0,17,10
5328,2,0,3,2
5329,1,0,6,4
5330,1,0,7,4
5331,1,0,91,40
5332,1,0,8,6
5333,1,0,4,2
5334,1,0,6,5
5335,2,0,13,8
5336,1,0,10,8
5337,2,0,21,14
5338,0,0,0,0
5339,0,0,0,0
5340,0,0,0,0
5341,2,1,8,7
5342,1,0,5,5
5343,1,0,13,8
5344,1,0,8,6
5345,0,0,0,0
5346,1,0,10,7
5347,1,0,21,10
5348,0,0,0,0
5349,1,0,20,16
5350,1,1,0,0
5351,2,0,2,2
5352,1,0,12,6
5353,0,0,0,0
5354,1,0,10,8
5355,1,0,20,17
5356,1,0,9,6
5357,1,0,21,13
5358,1,0,12,10
5359,1,0,4,4
5360,3,2,14,8
5361,1,0,18,12
5362,1,0,7,6
5363,1,0,7,4
5364,1,0,15,12
5365,0,0,0,0
5366,1,0,4,4
5367,2,2,0,0
5368,0,0,0,0
5369,0,0,0,0
5370,0,0,0,0
5371,1,0,15,6
5372,1,0,4,2
5373,1,0,19,11
5374,0,0,0,0
5375,0,0,0,0
5376,1,0,16,12
5377,2,0,12,8
5378,2,1,5,4
5379,0,0,0,0
5380,1,0,6,5
5381,2,0,42,26
5382,2,1,12,7
5383,1,0,13,11
5384,1,0,6,5
5385,1,0,9,7
5386,1,0,9,8
5387,3,2,1,1
5388,1,0,7,3
5389,1,0,10,5
5390,0,0,0,0
5391,1,0,15,14
5392,1,0,20,14
5393,2,1,7,3
5394,1,0,5,3
5395,1,0,14,8
5396,1,0,10,6
5397,1,0,5,3
5398,1,0,18,12
5399,1,1,0,0
5400,1,0,17,9
5401,1,0,11,9
5402,0,0,0,0
5403,1,0,6,3
5404,1,0,19,14
5405,2,1,7,4
5406,1,0,4,4
5407,1,0,22,16
5408,1,0,10,6
5409,1,0,8,7
5410,0,0,0,0
5411,0,0,0,0
5412,1,0,8,6
5413,2,0,17,12
5414,1,0,8,5
5415,0,0,0,0
5416,0,0,0,0
5417,1,0,16,11
5418,1,0,14,8
5419,0,0,0,0
5420,1,0,10,5
5421,1,0,4,3
5422,1,0,9,7
5423,1,0,3,2
5424,0,0,0,0
5425,1,0,16,8
5426,0,0,0,0
5427,1,0,18,13
5428,1,0,10,8
5429,1,0,12,9
5430,1,0,18,12
5431,1,0,14,10
5432,1,0,8,7
5433,1,0,3,3
5434,0,0,0,0
5435,2,1,10,6
5436,1,0,15,11
5437,1,1,0,0
5438,1,1,0,0
5439,1,0,8,5
5440,1,0,10,6
5441,1,0,14,10
5442,2,1,5,3
5443,0,0,0,0
5444,1,0,18,14
5445,3,2,7,4
5446,1,0,11,7
5447,0,0,0,0
5448,0,0,0,0
5449,4,2,3,3
5450,1,0,4,3
5451,0,0,0,0
5452,1,0,13,9
5453,1,0,11,10
5454,1,1,0,0
5455,1,0,8,6
5456,1,0,10,7
5457,1,0,3,1
5458,1,0,11,9
5459,1,0,11,7
5460,0,0,0,0
5461,2,1,3,2
5462,1,0,16,9
5463,1,0,21,9
5464,6,2,62,22
5465,0,0,0,0
5466,1,1,0,0
5467,2,1,2,2
5468,1,1,0,0
5469,1,0,19,12
5470,1,0,7,5
5471,2,2,0,0
5472,2,1,10,8
5473,1,0,14,12
5474,1,0,17,13
5475,0,0,0,0
5476,1,0,5,4
5477,1,0,10,7
5478,1,0,7,4
5479,1,0,8,5
5480,1,0,18,9
5481,1,1,0,0
5482,0,0,0,0
5483,0,0,0,0
5484,1,0,6,4
5485,1,0,6,4
5486,0,0,0,0
5487,0,0,0,0
5488,2,2,0,0
5489,1,0,11,8
5490,1,0,7,6
5491,2,2,0,0
5492,1,0,14,11
5493,1,0,15,10
5494,1,1,0,0
5495,1,0,5,4
5496,1,0,10,6
5497,1,0,10,6
5498,1,0,13,10
5499,1,0,19,13
5500,0,0,0,0
5501,1,0,1,1
5502,1,0,13,11
5503,1,0,25,19
5504,1,0,17,9
5505,1,0,24,18
5506,1,0,6,4
5507,1,0,71,38
5508,1,0,8,7
5509,2,1,8,4
5510,1,0,8,5
5511,1,1,0,0
5512,1,0,11,10
5513,1,0,12,10
5514,2,0,20,12
5515,1,0,21,13
5516,2,1,12,11
5517,1,0,11,10
5518,1,0,14,11
5519,1,0,5,3
5520,1,0,19,10
5521,1,0,15,9
5522,1,0,7,6
5523,0,0,0,0
5524,1,0,6,4
5525,1,0,17,9
5526,1,0,14,10
5527,1,0,15,10
5528,1,0,23,13
5529,0,0,0,0
5530,1,0,5,4
5531,1,0,13,6
5532,1,0,14,10
5533,1,0,17,10
5534,2,0,14,10
5535,0,0,0,0
5536,1,0,8,7
5537,0,0,0,0
5538,0,0,0,0
5539,0,0,0,0
5540,1,0,17,13
5541,1,0,10,5
5542,1,0,15,12
5543,1,1,0,0
5544,0,0,0,0
5545,0,0,0,0
5546,1,0,13,9
5547,0,0,0,0
5548,1,0,2,2
5549,0,0,0,0
5550,0,0,0,0
5551,1,0,14,8
5552,1,0,14,11
5553,1,0,4,3
5554,0,0,0,0
5555,1,0,24,10
5556,1,0,11,10
5557,1,0,17,12
5558,1,1,0,0
5559,1,1,0,0
5560,1,0,15,11
5561,0,0,0,0
5562,1,0,22,15
5563,1,0,12,6
5564,1,0,10,6
5565,1,0,9,7
5566,1,0,8,7
5567,0,0,0,0
5568,0,0,0,0
5569,1,0,10,7
5570,1,1,0,0
5571,1,0,12,5
5572,1,0,10,7
5573,1,0,7,5
5574,0,0,0,0
5575,1,0,2,2
5576,0,0,0,0
5577,1,0,15,11
5578,1,0,11,9
5579,3,2,5,2
5580,0,0,0,0
5581,0,0,0,0
5582,2,1,1,1
5583,1,0,5,4
5584,2,0,11,9
5585,1,0,11,8
5586,0,0,0,0
5587,1,0,13,8
5588,1,0,10,8
5589,2,1,2,2
5590,1,0,10,7
5591,1,0,17,11
5592,0,0,0,0
5593,1,0,14,11
5594,1,0,7,6
5595,0,0,0,0
5596,0,0,0,0
5597,1,0,12,10
5598,1,0,8,4
5599,2,1,9,9
5600,1,0,13,11
5601,1,0,11,7
5602,1,0,13,10
5603,1,1,0,0
5604,1,0,39,24
5605,1,0,26,17
5606,1,1,0,0
5607,1,0,14,11
5608,1,0,14,10
5609,1,0,19,9
5610,1,0,38,20
5611,1,0,14,7
5612,1,0,15,9
5613,1,0,16,12
5614,3,3,0,0
5615,1,0,5,3
5616,2,0,10,8
5617,2,0,7,6
5618,3,2,6,5
5619,2,0,7,5
5620,2,0,13,9
5621,1,0,7,6
5622,1,0,1,1
5623,1,0,5,3
5624,1,0,9,8
5625,0,0,0,0
5626,1,0,18,8
5627,0,0,0,0
5628,0,0,0,0
5629,2,0,4,4
5630,2,0,28,14
5631,0,0,0,0
5632,1,0,11,7
5633,1,0,14,10
