Tree,Ortho Groups,Empty-Ortho Groups,Dups,Ind. Dups
316,4,1,33,26
317,1,0,57,24
318,2,0,22,12
319,1,0,338,154
320,3,0,42,33
321,7,6,16,11
322,4,1,19,15
323,3,0,16,11
324,3,0,41,28
325,4,1,13,9
326,6,4,27,17
327,0,0,0,0
328,2,0,17,13
329,3,0,22,15
330,5,0,158,133
331,2,0,11,7
332,4,1,25,18
333,3,1,16,11
334,3,0,39,28
335,4,0,38,27
336,3,0,38,23
337,4,0,18,15
338,3,0,27,22
339,5,2,36,24
340,4,1,20,17
341,3,0,26,16
342,9,1,82,58
343,4,0,46,28
344,4,0,27,19
345,1,0,172,85
346,4,0,34,22
347,7,4,9,5
348,1,1,0,0
349,3,0,53,32
350,4,1,40,22
351,3,0,44,25
352,4,1,50,31
353,2,1,22,14
354,3,0,36,27
355,4,0,33,24
356,2,0,7,6
357,3,0,30,20
358,3,0,42,28
359,1,0,51,23
360,4,1,31,20
361,3,0,21,13
362,1,0,278,144
363,4,1,20,17
364,2,0,65,37
365,2,0,20,16
366,5,1,33,24
367,3,0,18,14
368,3,0,32,24
369,2,0,9,8
370,5,1,15,11
371,2,0,19,12
372,0,0,0,0
373,3,2,1,1
374,3,0,34,25
375,2,0,16,12
376,3,1,11,8
377,2,0,21,15
378,3,0,24,19
379,3,1,91,34
380,3,0,15,11
381,3,0,28,19
382,4,1,25,16
383,5,2,12,9
384,10,7,14,9
385,3,0,13,8
386,3,0,26,19
387,1,0,1,1
388,4,0,34,26
389,2,0,13,9
390,3,0,27,18
391,4,2,34,21
392,4,2,18,9
393,1,0,376,151
394,2,0,215,103
395,3,0,43,26
396,4,2,10,7
397,2,0,24,15
398,4,3,47,17
399,1,0,21,14
400,3,0,24,14
401,3,0,48,29
402,3,1,12,9
403,3,0,10,7
404,2,0,25,19
405,3,1,15,12
406,2,0,219,71
407,3,0,29,18
408,4,1,52,28
409,3,3,0,0
410,3,0,48,27
411,3,2,6,4
412,0,0,0,0
413,2,1,15,9
414,3,0,29,24
415,3,1,37,24
416,3,0,14,8
417,5,1,17,16
418,3,0,17,15
419,3,0,24,18
420,3,0,21,15
421,3,0,30,17
422,2,0,11,7
423,4,1,16,9
424,6,1,12,10
425,4,1,19,15
426,3,0,35,25
427,4,1,45,30
428,4,0,77,44
429,3,1,12,8
430,2,0,12,7
431,1,0,241,98
432,2,0,27,17
433,5,1,36,22
434,4,2,64,41
435,2,0,31,16
436,3,0,14,9
437,2,0,5,3
438,3,0,232,87
439,5,2,18,13
440,3,0,24,15
441,3,0,23,17
442,4,1,16,12
443,1,0,1,1
444,3,0,22,15
445,3,1,20,14
446,4,1,14,7
447,2,0,13,11
448,4,1,35,19
449,3,0,24,14
450,3,1,16,13
451,3,0,35,20
452,3,0,27,21
453,3,1,31,22
454,3,0,25,20
455,3,0,29,22
456,3,0,31,23
457,3,0,51,25
458,3,0,19,13
459,4,2,36,11
460,2,0,30,29
461,7,3,35,16
462,8,3,25,13
463,4,1,7,6
464,4,1,20,14
465,3,0,68,38
466,4,0,85,52
467,3,0,36,24
468,0,0,0,0
469,2,0,28,20
470,50,24,100,51
471,4,1,19,15
472,3,0,22,17
473,3,1,11,7
474,0,0,0,0
475,2,1,6,4
476,3,0,32,23
477,5,2,28,18
478,0,0,0,0
479,3,0,31,22
480,2,0,75,55
481,2,0,16,10
482,3,0,33,22
483,2,0,23,15
484,2,1,20,14
485,1,1,0,0
486,3,0,31,23
487,3,0,31,21
488,4,0,19,17
489,5,4,18,10
490,2,0,27,16
491,3,2,13,8
492,5,4,9,5
493,3,0,24,17
494,0,0,0,0
495,10,0,92,39
496,5,2,31,23
497,10,7,28,13
498,3,0,19,15
499,3,0,21,16
500,3,0,37,24
501,2,1,44,13
502,3,1,24,19
503,1,0,341,68
504,0,0,0,0
505,4,2,21,12
506,2,0,50,24
507,3,0,31,18
508,3,0,21,16
509,2,0,8,7
510,3,0,21,15
511,3,1,9,7
512,3,0,23,18
513,2,0,104,54
514,2,0,8,6
515,3,0,15,14
516,3,2,38,16
517,4,1,17,11
518,4,0,223,92
519,3,0,33,21
520,1,1,0,0
521,2,0,11,8
522,2,2,0,0
523,1,0,12,9
524,3,0,17,15
525,2,0,54,36
526,3,0,21,17
527,2,0,29,20
528,3,0,24,14
529,3,1,105,47
530,4,2,8,7
531,9,5,19,11
532,3,1,35,26
533,4,1,21,13
534,9,4,24,15
535,3,1,60,31
536,1,0,112,47
537,4,2,15,10
538,3,0,23,14
539,4,1,21,14
540,3,1,26,14
541,2,0,289,118
542,2,0,18,9
543,1,0,2,2
544,3,0,17,13
545,1,0,237,112
546,3,1,25,15
547,3,1,25,18
548,3,0,16,14
549,12,6,36,18
